単語,意味
a body of ~,一連の～、大量の～
a good amount of ~,十分な量の～
a large number of ~,数多くの～
abruptly,急いで、慌てて
abundance,豊富、大量
abuse,乱用
acceptable,受け入れられる、受け入れやすい
accident,思いがけない出来事、偶然
according to ~,～によれば
acre,エーカー［土地の面積の単位］
add,～を加える
add to ~,～を増大させる
admire,称賛する
advantage,有利な点
affect,～に影響を与える
afford,（経済的・時間的に）～の余裕がある
after all,結局、なんといっても
agent,代行業者
ahead of ~,～の前に、～より早く
all the same,それでもやはり
allow O to do,Oに～させることを許す
along with ~,～と一緒に、～の他に
alternative,代替の
amazing,驚くべき、すばらしい
amount,量
amphibian,両生類
ancestor,祖先
ancient,古代の
animal plankton,動物プランクトン
anxiety,不安、心配
appear,現れる
appearance,外見
apparently,見たところ、たぶん
approach,接近
archipelago,列島
area,領域
argue,主張する、～を主張する
arise,発生する
arrangement,組み合わせ、配列
artificial intelligence,人工知能
as a result,その結果
as a result of ~,～の結果、～を受けて
aspect,面
assign,任命する
astonishing,驚くべき
atmosphere,大気
attempt,試みる
attractive,魅力的な
average,平均、〔動〕平均して～（数値）になる
avoid doing,～するのを避ける
awful,ひどい、とてもまずい
basic necessities,生活必需品
be about to do,～するところだ
be accustomed to ~,～に慣れている
be aware of ~,～に気づく、～を意識する
be based on ~,～に基づいている
be biased towards ~,～に対して偏見を抱いている
be concerned about ~,～に関心がある、～を気にかける
be connected to ~,～と関係がある
be deficient in ~,～が不足している
be filled with ~,～で満たされている
be forced to do,～せざるをえない
be lost,困る、途方に暮れる
be made up of ~,～から成り立っている
be responsible for ~,～に対して責任がある、～の原因になる
be supposed to do,～することとされている、～しなければならない
be tied up,縛りつけられている
be true for ~,～に当てはまる
be true of ~,～に当てはまる
be willing to do,進んで～する
behavior,態度、行動
benefit,利点、利益
biological,生物学的な
bleed,血を流す
blur,あいまいになる
body temperature,体温
bold,大胆な
boredom,退屈
bound,縛り付けられた
boundary,境界
branch,（鉄道の）支線（= branch line）
break down,故障する、分解する
break off ~,～を切り離す
breakthrough,躍進
breed,繁殖させる、飼育する
bring about ~,～をもたらす
brownish,茶色がかった
budget,予算
burden,負担
by itself,ひとりで、勝手に
can afford to do,～することができる
canoe,カヌー
carbon dioxide,二酸化炭素
care about ~,～を気にする
casually,不用意に
cause,原因、理由、～を引き起こす
cause O to do,Oに～させる
cause ~ to do,～に…させる、～が…する原因となる
cheat,不正をする、いかさまをする
cheer,～を励ます
choice,選択
circulation,循環
circumvent,～を回避する
citizen,市民
civilization,文明
claim,～を主張する
climate,気候
close to ~,～の近くに、～に近い
colony,（生物の）群体、植民地
coloring book,塗り絵の本
combination,組み合わせ
come up with ~,～を思いつく
comfortably,快適に
comfortable,心地よく感じる
command,命じる
common,一般的な、よくある
community,地域社会、社会、共同体
compare A with B,AとBを比べる
compare with ~,～に匹敵する
compared to ~,～と比べると
comparison,比較
competitive,競争力のある
complain,不満を言う
complex,複雑な
concept,概念
concerned,心配している、憂慮している
conclude,結論づける
conduct,行う、～（会議、実験など）を行う
confirm,～を確認する
consciousness,意識
consequently,その結果として
conservation,保護
consist of ~,～から成る
consistent,一貫性のある
construct,～を構成する、作り上げる
consumer,消費者
consumption,消費
contain,～を含む
content,容量、含有量
continuous,連続した
control,制御する、～を制御する
conversation,会話
coordinate with ~,～と連携する、協調する
coronavirus,コロナウイルス
cost,代償、犠牲
countless,数え切れない、無数の
course,経過
court,裁判、法廷
crash,衝突する、衝突、墜落、大音響
create,～を創作する、生み出す、～を作り出す
creature,生き物
crisis,危機
crop,農作物
cruel,残酷な
current,現在の
damage,～に損害を与える
date back,さかのぼる
date from ~,～から始まる、～にさかのぼる
debate,議論
decade,10年間
decide on ~,～に決める
decrease,減少する
deed,行い、行動
defend,擁護する
deliberately,意図的に
densely,密集して
depend on ~,～で決まる
depending on ~,～によって、～次第で、～に応じて
depressing,気を滅入らせる
describe,～を述べる、描く、～を描写する
desert,砂漠
destiny,運命
determine,～を決定する、結論づける
develop into ~,～へ発展する
developing country,発展途上国
die out,絶滅する
dinosaur,恐竜
disappear,なくなる、消える
disaster,大惨事
dispute,論争
distance,距離
distant,遠い
distinct,はっきりした
distinctive,明確に区別できる、独特な
district,地区
diversity,多様性
divide into ~,～に分かれる
downturn,（景気などの）低迷
drawer,引き出し
driverless,運転手のいない
due to ~,～のために、～のせいで
economic growth,経済成長
effect,役割、効果、影響
effect on ~,～への影響
effectiveness,有効性
efficient,効率的な
effort,努力
