単語,意味
a body of ~,一連の～、大量の～
a good amount of ~,十分な量の～
a large number of ~,数多くの～
abruptly,急いで、慌てて
abundance,豊富、大量
abuse,乱用
acceptable,受け入れられる、受け入れやすい
accident,思いがけない出来事、偶然
according to ~,～によれば
acre,エーカー［土地の面積の単位］
add,～を加える
add to ~,～を増大させる
admire,称賛する
advantage,有利な点
affect,～に影響を与える
afford,（経済的・時間的に）～の余裕がある
after all,結局、なんといっても
agent,代行業者
ahead of ~,～の前に、～より早く
all the same,それでもやはり
allow O to do,Oに～させることを許す
along with ~,～と一緒に、～の他に
alternative,代替の
amazing,驚くべき、すばらしい
amount,量
amphibian,両生類
ancestor,祖先
ancient,古代の
animal plankton,動物プランクトン
anxiety,不安、心配
appear,現れる
appearance,外見
apparently,見たところ、たぶん
approach,接近
archipelago,列島
area,領域
argue,主張する、～を主張する
arise,発生する
arrangement,組み合わせ、配列
artificial intelligence,人工知能
as a result,その結果
as a result of ~,～の結果、～を受けて
aspect,面
assign,任命する
astonishing,驚くべき
atmosphere,大気
attempt,試みる
attractive,魅力的な
average,平均、〔動〕平均して～（数値）になる
avoid doing,～するのを避ける
