単語,意味
awful,ひどい、とてもまずい
basic necessities,生活必需品
be about to do,～するところだ
be accustomed to ~,～に慣れている
be aware of ~,～に気づく、～を意識する
be based on ~,～に基づいている
be biased towards ~,～に対して偏見を抱いている
be concerned about ~,～に関心がある、～を気にかける
be connected to ~,～と関係がある
be deficient in ~,～が不足している
be filled with ~,～で満たされている
be forced to do,～せざるをえない
be lost,困る、途方に暮れる
be made up of ~,～から成り立っている
be responsible for ~,～に対して責任がある、～の原因になる
be supposed to do,～することとされている、～しなければならない
be tied up,縛りつけられている
be true for ~,～に当てはまる
be true of ~,～に当てはまる
be willing to do,進んで～する
behavior,態度、行動
benefit,利点、利益
biological,生物学的な
bleed,血を流す
blur,あいまいになる
body temperature,体温
bold,大胆な
boredom,退屈
bound,縛り付けられた
boundary,境界
branch,（鉄道の）支線（= branch line）
break down,故障する、分解する
break off ~,～を切り離す
breakthrough,躍進
breed,繁殖させる、飼育する
bring about ~,～をもたらす
brownish,茶色がかった
budget,予算
burden,負担
by itself,ひとりで、勝手に
can afford to do,～することができる
canoe,カヌー
carbon dioxide,二酸化炭素
care about ~,～を気にする
casually,不用意に
cause,原因、理由、～を引き起こす
cause O to do,Oに～させる
cause ~ to do,～に…させる、～が…する原因となる
cheat,不正をする、いかさまをする
cheer,～を励ます
