単語,意味
creature,生き物
crisis,危機
crop,農作物
cruel,残酷な
current,現在の
damage,～に損害を与える
date back,さかのぼる
date from ~,～から始まる、～にさかのぼる
debate,議論
decade,10年間
decide on ~,～に決める
decrease,減少する
deed,行い、行動
defend,擁護する
deliberately,意図的に
densely,密集して
depend on ~,～で決まる
depending on ~,～によって、～次第で、～に応じて
depressing,気を滅入らせる
describe,～を述べる、描く、～を描写する
desert,砂漠
destiny,運命
determine,～を決定する、結論づける
develop into ~,～へ発展する
developing country,発展途上国
die out,絶滅する
dinosaur,恐竜
disappear,なくなる、消える
disaster,大惨事
dispute,論争
distance,距離
distant,遠い
distinct,はっきりした
distinctive,明確に区別できる、独特な
district,地区
diversity,多様性
divide into ~,～に分かれる
downturn,（景気などの）低迷
drawer,引き出し
driverless,運転手のいない
due to ~,～のために、～のせいで
economic growth,経済成長
effect,役割、効果、影響
effect on ~,～への影響
effectiveness,有効性
efficient,効率的な
effort,努力
elevate,高める、上昇させる
elsewhere,他の場所で
employee,従業員
