単語,意味
employment,雇用
encourage,奨励する
encouraging,〔形〕励みになる、元気づける
entire,完全な、全体の
equipment,装備、装置
eradicate,～を撲滅する
especially,特に
essentially,基本的に、本質的に
estimate,～と見積もる
European,ヨーロッパ人
even if ~,たとえ～だとしても
even though ~,～だけれども
eventually,最終的に
evidence,証拠
evolve into ~,～に進化する
examine,検証する
exceed,～を超える
exceptional,卓越した、例外的な
exclude,～を除外する
excuse for ~,～の理由
exercise,運動
exhaust,疲れ果てている
expansion,拡張、拡大
expect,～を予想する
expel,～を（吐き）出す
experience,経験する
experienced,経験豊かな
experiment with ~,～の実験をする
expert,専門家
expose A to B,AをBにさらす
expression,表現
extinction,絶滅
extremely,極めて、非常に
facility,施設
factor,要素、要因
fairly,公正に
fall into sleep,眠りに落ちる
family tree,家系図
family-run shop,家族経営の店
farmland,農地
fascinating,魅力的な
fashionable,流行の
favor,好み、人気
feed ~ to ...,～（餌・食物など）を…に与える
feel like doing,～したいと感じる
female,女性の
figure,～と思う、考える
financial,財政上の、金銭の、経済的な
flavor,風味
float,浮遊する
