単語,意味
list,～を載せる
literature,文学
livestock,家畜
lizard,トカゲ
local,地元の
loneliness,孤独、寂しさ
low-status,低い地位の
maintain,保つ
major,大きな
majority,多数派
make sure (that) ~,～であることを確認する、～に確実になるようにする
make use of ~,～を利用する
manage to do,～をしてしまう、～をしでかす
mankind,人類
manual,手引書
manufacturer,製造業者
matter,重要である
maximum,最大限
measure,測る
medical,医学の
medicine,医学
meet,（要求など）を満たす
mention,～を述べる
merchant,商人
metropolis,大都市
minimum,最低の
misunderstanding,誤解
mix ... with ~,…と～を混ぜる
mouthful,ひとくち（分の量）
murky,濁った
mutter,つぶやく
mysterious,不可解な、不思議な、神秘的な
naked,裸の
negative,否定的な、悪い
neighbor,隣人
Norman,ノルマン人
notable,注目に値する
numerous,多数の、数多くの
nursing home,老人ホーム、高齢者福祉施設
nutrient,栄養素
nutritionist,栄養学者
obey,～に従う、従う
obvious,明らかな
occasion,機会
occupied,〔形〕夢中になって、忙しくして
occur,起こる
of one's own will,自分の意志で
offer,提供する、～を提示する、～を提供する
old wives' tale,言い伝え、迷信
on average,平均すると
