単語,意味
respond,反応する、対応する
response,回答、反応
rest,（～の）残り
restore ~ to ...,～を…に戻す［復元する］
result in ~,～という結果になる
reveal,～を明らかにする
revenue,税収、歳入
revive,生き返らせる
reward,ほうびを与える
road death,交通事故死（者）
roughly,おおよそ
ruin,破綻
ruler,支配者、統治者
rush,急いで行く
rustling,（紙などが）ガサガサいう音
sail,航海する
satisfy,満足させる
scholar,学者
second only to ~,～に次いで2番目の
second-class,二流の
selectively,選択的に
self-driving car,自動運転車
self-satisfaction,自己満足
senior,高齢者
separate,～を分ける、分離する
set,定められた、規定の
settle,（新しい環境などに）落ち着く
severe,ひどい、激しい
shelter,住む場所、すみか
shift,変化
show up,現れる
shrink,縮む
significant,重大な、かなりの、重要な
significantly,著しく、かなり
similarity to ~,～との類似点
sink,沈没する
slang,スラング、俗語
slightly,わずかに、少し
social distancing,社会的距離を置くこと、感染拡大を防ぐために物理的な距離をとること
socialize,社交的に活動する
solution,解決策
source,源、もと
species,種、（生物学の）種
specimen,標本、見本
spelling,つづり
spiritual,精神的な
split,分割した、分かれた
standard,基準
standard of living,生活水準
stare,じっと見る
