単語,意味
startle,びっくりさせる
state,状態
steadily,しっかりと、堅実に
steal,盗む
stimulate,～を刺激する
stretch,広がる
striking,著しい、際立った
stripe,しま（模様）
structure,構造、建造物
stuffed,詰め物をした、剥製の
subject,被験者
successful,成功した
such as ~,～のような
suffer,被害にあう、苦しむ
sugar cube,角砂糖
suggest,示唆する、～を示す
suggestion,提案
supply,供給
supporter,支持者
survive,生き抜く、生存する、生き延びる
sustain,～を維持する
sustenance,（生命維持の）食物、食料
switch to ~,～に切り替える
take a look at ~,～を見る
take advantage of ~,～を利用する
temperate,温帯の
term,用語、言葉
terribly,ひどく
terrifying,恐ろしい
than usual,通常よりも
the Massachusetts Institute of Technology (MIT),マサチューセッツ工科大学
the National Police Agency,警察庁
theory,学説、理論
thick,厚い
thirst,のどの渇き
thought experiment,思考実験
thoughtful,心のこもった
thrive,繁栄する
tide,潮
tiny,非常に小さな
to name a few,いくつか例を挙げるなら
toxic,有毒な
toxin,毒素
track,線路、軌道
traditional,伝統的な
trait,特性
transaction,取引
transportation,輸送、交通（機関）
trend,風潮、傾向
trivia,雑学知識、豆知識
