単語,意味
trolley,路面電車、トロリーバス
tropical rain forest,熱帯雨林
trousers,ズボン
turn out ~,～であることが判明する
ugliness,醜さ
unchanged,変わらない
undergo,～を経験する
unemployment,失業
unexpected,予想外の、予期しない（ような）
uninterrupted,間断ない
unrest,不安
unusually,通常ではないほどの
up to ~,（最大）～まで
upper class,上流階級
urban,都市部の
urbanization,都市化
valued,大切な、貴重な
variable,変数
vary,変化する
vegan diet,完全菜食主義の食事
vegetarian diet,菜食
vehicle,車、乗り物
version,版、型
virus,ウイルス
visibly,明らかに
visually,視覚的に
vital,不可欠な、とても重要な
vocabulary,語彙
voyage,航海
wage,賃金
warmth,暖かさ
warn,警告する
warning,警告
wax candle,ろうそく
weird,奇妙な
wheat,小麦
when it comes to ~,～のことになると、～に関しては
whereas,～に対して
worldwide,世界中で
yet,［文頭で］しかし
zebra,シマウマ
